course_code,department_code,department_name,course_number,course_name,course_description,min_credits,max_credits,academic_year,terms
AB 1531,AB,Arabic,1531,Elementary Arabic I,"Cat. IAn intensive course to introduce the Arabic language to students with no background in Arabic. Oral language acquisition will stress structures and vocabulary required for basic communicative tasks. Emphasis will be on grammar, vocabulary, and writing system. Cultural aspects of Arabic-speaking countries introduced through course material.This course is closed to native speakers of Arabic and heritage speakers except with written permission from the instructor.",3.0,3.0,2021 - 2022 Academic Year,A
AB 1532,AB,Arabic,1532,Elementary Arabic II,"Cat. I This course continues students’ exposure to and development of Modern Standard Arabic and Darija, the Arabic dialect spoken in Morocco; it is for students who can read and write using the Arabic script but have very basic understanding of vocabulary and syntax. New language structures, vocabulary and cultural concepts will be presented in communicative activities/materials in class and homework assignments; these activities will focus on receptive (reading & listening) and productive (writing & speaking) skills in Arabic. Recommended background: AB1531 or instructor approval; this course is closed to native speakers of Arabic and heritage speakers except with written permission from the instructor.",3.0,3.0,2021 - 2022 Academic Year,B
AB 1533,AB,Arabic,1533,Elementary Arabic III,"Cat. I This course is a continuation of AB 1532. Emphasis will be on building and strengthening receptive and productive skills in both Modern Standard Arabic and Darija, the Arabic dialect spoken in Morocco. Grammatical structures covered in the previous courses along with new structures will be part of class activities as well as homework assignments. Cultural aspects of Arabic-speaking countries will be introduced through course materials including commonly used vocabulary and expressions. Recommended background: AB1531 & AB1532 or instructor approval; this course is closed to native speakers of Arabic and heritage speakers except with written permission from the instructor.",3.0,3.0,2021 - 2022 Academic Year,C
AB 2531,AB,Arabic,2531,Intermediate Arabic I,"Cat. I This course builds on the knowledge and skills that students learn in the elementary level courses (AB 1531, AB 1532 and AB 1533). Students continue learning Modern Standard Arabic with moderate exposure to phrases and expressions in Darija, Moroccan colloquial Arabic. The course employs a student-centered approach that focuses on receptive language skills (reading and listening) and productive language skills (speaking and writing); it also integrates culture and authentic materials in order to create real-life opportunities for language practice/use and to develop students’ cultural competency. By the end of this course, students should be able to use tense appropriately to describe actions and events, describe their daily routines, describe personal and professional relations and report bibliographical and general information. Course assignments include daily homework, short quizzes, skits, presentations and/or an oral exam. Recommended Background: AB1531, AB1532 & AB1533 or instructor approval ; this course is closed to native speakers of Arabic and heritage speakers except with written permission from the instructor. Students cannot receive credit for both AB 210X and AB 2531.",3.0,3.0,2021 - 2022 Academic Year,A
AB 2532,AB,Arabic,2532,Intermediate Arabic II,"Cat. I This course is a continuation of AB 2531. Students continue learning Modern Standard Arabic (MSA) with limited exposure to phrases and expressions in Darija, Moroccan colloquial Arabic. The course employs a student-centered approach that focuses on receptive language skills (reading and listening) and productive language skills (speaking and writing); it also integrates culture and authentic materials in order to create real-life opportunities for language practice/use and to develop students’ cultural competency. By the end of this course, students should be able to read and understand the gist of authentic texts in MSA, answer basic comprehension questions, differentiate between parts of speech and use parts of speech to reproduce or produce short texts in MSA. Course assignments include daily homework, short quizzes, skits, presentations and/or an oral exam. Recommended Background: AB1531, AB1532, AB1533 & AB2531 or instructor approval; this course is closed to native speakers of Arabic and heritage speakers except with written permission from the instructor. Students cannot receive credit for both AB 220X and AB 2532.",3.0,3.0,2021 - 2022 Academic Year,B
AB 2533,AB,Arabic,2533,Intermediate Arabic III,"Cat. I This course is a continuation of AB 2531 and AB 2532; it focuses on improving students’ skills in Modern Standard Arabic (MSA). The course employs a student-centered approach that focuses on receptive language skills (reading and listening) and productive language skills (speaking and writing); it also integrates culture and authentic materials in order to create reallife opportunities for language practice/use and to develop students’ cultural competency. By the end of this course, students should be able to read and understand selected authentic texts written in MSA, differentiate between main ideas and supporting ideas, answer level-appropriate comprehension questions, respond to level-appropriate open-ended questions in MSA and generate content that is level adequate. Course assignments include daily homework, short quizzes, skits, presentations and/or an oral exam. Recommended Background: AB1531, AB1532, AB1533, AB2531 & AB2532 or instructor approval; this course is closed to native speakers of Arabic and heritage speakers except with written permission from the instructor. Students cannot receive credit for both AB 230X and AB 2533.",3.0,3.0,2021 - 2022 Academic Year,C
AE 2550,AE,Aerospace Engineering,2550,Atmospheric And Space Environments,"Cat I This course introduces the ambient atmospheric and space environments encountered by aerospace vehicles. Topics include: the sun and solar activity; the solar wind; planetary magnetospheres; planetary atmospheres; radiation environments; galactic cosmic rays; meteoroids; and space debris. Recommended background: mechanics (PH1110 / 1111 or equivalent), electromagnetism (PH 1120 / 1121 or equivalent), and ordinary differential equations (MA 2051 or equivalent).",3.0,3.0,2021 - 2022 Academic Year,D
AE 2712,AE,Aerospace Engineering,2712,Introduction To Aerospace Structures,"Cat. I This course provides a concise overview of statics and then focuses on basic stress analysis applied to simple aerospace structures. Topics in stress analysis include: concepts of stress and strain; basic constitutive relations; one-dimensional response to axial loading; thermal stresses; statically determinate and indeterminate problems; shear forces, bending moments, bending stresses and deflections in beams with symmetric cross sections; two-dimensional stress transformation and Mohr’s circle; and an introduction to energy methods in structural analysis. Recommended background: differential, integral, multivariable calculus (MA 1021, MA 1022, MA 1024 or equivalent), mechanics (PH 1110, PH 1111, or equivalent).",3.0,3.0,2021 - 2022 Academic Year,A
AE 2713,AE,Aerospace Engineering,2713,Astronautics,"An introductory course that covers the fundamentals of space flight. Topics studied include: two-body orbital dynamics, classification of orbits, and time of flight analysis; geocentric orbits and impulsive maneuvers: orbit shaping, escape trajectories, Hohmann and non-Hohmann transfers; orbital elements in 3D; interplanetary Hohmann and generalized transfers, intercepts, flybys. Recommended background: multivariable calculus (MA 1024 or equivalent), differential equations (MA 2051 or equivalent), dynamics (ES 2503, PH 2201 or equivalent).",3.0,3.0,2021 - 2022 Academic Year,B
AE 3410,AE,Aerospace Engineering,3410,Compressible Fluid Dynamics,"In this course, students are introduced to various compressibility phenomena such as compression (shock) and expansion waves. Conservation laws and thermodynamic principles are applied to the description of flows in which compressibility effects are significant. One-dimensional models are applied to analysis of flow in variable area ducts, normal and oblique shock waves, expansion waves, and flows with friction and heat addition. Numerous applications from engineering are investigated including supersonic inlets, rocket nozzles, supersonic wind tunnels, gas delivery systems, and afterburning jet engines. Recommended background: thermodynamics (ES 3001, CH 3510 or equivalent), incompressible fluid dynamics (AE 3602 or equivalent).",3.0,3.0,2021 - 2022 Academic Year,A
